timestamp,stt_model,llm_model,tts_model,stt_language,tts_speaker,stt_latency,llm_tts_latency,e2e_latency
1772091498.8310597,saaras:v3,openai/gpt-oss-20b,bulbul:v3-beta,te-IN,ishita,,,
1772091520.633352,saaras:v3,openai/gpt-oss-20b,bulbul:v3-beta,te-IN,ishita,,,
1772091549.9963918,saaras:v3,openai/gpt-oss-20b,bulbul:v3-beta,te-IN,ishita,,,
1772092200.9720988,saaras:v3,openai/gpt-oss-20b,bulbul:v3-beta,te-IN,ishita,,,
1772092366.1653333,saaras:v3,openai/gpt-oss-20b,bulbul:v3-beta,te-IN,ishita,,,
1772092398.4793,saaras:v3,openai/gpt-oss-20b,bulbul:v3-beta,te-IN,ishita,,,
1772092427.2234638,saaras:v3,openai/gpt-oss-20b,bulbul:v3-beta,te-IN,ishita,,,
1772092474.2575176,saaras:v3,openai/gpt-oss-20b,bulbul:v3-beta,te-IN,ishita,,,
1772092543.1169434,saaras:v3,openai/gpt-oss-20b,bulbul:v3-beta,te-IN,ishita,,,
1772092643.5121593,saaras:v3,openai/gpt-oss-20b,bulbul:v3-beta,te-IN,ishita,,,
1772092704.1125426,saaras:v3,openai/gpt-oss-20b,bulbul:v3-beta,te-IN,ishita,,,
1772092779.0022302,saaras:v3,openai/gpt-oss-20b,bulbul:v3-beta,te-IN,ishita,,,
1772092829.1409428,saaras:v3,openai/gpt-oss-20b,bulbul:v3-beta,te-IN,ishita,,,
1772093089.426796,saarika:v2.5,openai/gpt-oss-20b,bulbul:v3-beta,te-IN,ishita,,,
1772093118.7598538,saarika:v2.5,openai/gpt-oss-20b,bulbul:v3-beta,te-IN,ishita,,,
1772093148.7973468,saarika:v2.5,openai/gpt-oss-20b,bulbul:v3-beta,te-IN,ishita,,,
1772093505.4841132,saarika:v2.5,llama-3.3-70b-versatile,bulbul:v2,te-IN,anushka,,,
1772093559.31131,saarika:v2.5,llama-3.3-70b-versatile,bulbul:v2,te-IN,anushka,,,
1772093582.8641214,saarika:v2.5,llama-3.3-70b-versatile,bulbul:v2,te-IN,anushka,,,
1772093626.600628,saarika:v2.5,llama-3.3-70b-versatile,bulbul:v2,te-IN,anushka,,,
1772093681.1962798,saarika:v2.5,llama-3.3-70b-versatile,bulbul:v2,te-IN,anushka,,,
1772100059.2987504,saarika:v2.5,llama-3.3-70b-versatile,bulbul:v2,te-IN,anushka,,,
1772100088.3337727,saarika:v2.5,llama-3.3-70b-versatile,bulbul:v2,te-IN,anushka,,,
1772100159.5165775,saarika:v2.5,llama-3.3-70b-versatile,bulbul:v2,te-IN,anushka,,,
1772100228.640672,saarika:v2.5,llama-3.3-70b-versatile,bulbul:v2,te-IN,anushka,,,
1772100272.2955675,saarika:v2.5,llama-3.3-70b-versatile,bulbul:v2,te-IN,anushka,,,
1772100299.8583107,saarika:v2.5,llama-3.3-70b-versatile,bulbul:v2,te-IN,anushka,,,
1772100385.487035,saarika:v2.5,llama-3.3-70b-versatile,bulbul:v2,te-IN,anushka,,,
1772100459.128138,saarika:v2.5,llama-3.3-70b-versatile,bulbul:v2,te-IN,anushka,,,
1772100578.0899482,saarika:v2.5,llama-3.3-70b-versatile,bulbul:v2,te-IN,anushka,,,
1772100655.0977764,saarika:v2.5,llama-3.3-70b-versatile,bulbul:v2,te-IN,anushka,,,
1772100754.0427775,saarika:v2.5,llama-3.3-70b-versatile,bulbul:v2,te-IN,anushka,,,
1772100775.2945104,saarika:v2.5,llama-3.3-70b-versatile,bulbul:v2,te-IN,anushka,,,
1772100816.7398753,saarika:v2.5,llama-3.3-70b-versatile,bulbul:v2,te-IN,anushka,,,
1772100850.5538502,saarika:v2.5,llama-3.3-70b-versatile,bulbul:v2,te-IN,anushka,,,
